race,party,candidate,votes,proportion
Kansas House of Representatives 001,R,Michael  Houser,1411,1
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,1237,1
Kansas House of Representatives 003,D,Monica  Murnan,787,1
Kansas House of Representatives 003,R,Charles (Chuck)  Smith,597,1
Kansas House of Representatives 004,R,Arlyn  Briggs,171,0.056
Kansas House of Representatives 004,R,Trevor  Jacobs,1749,0.578
Kansas House of Representatives 004,R,Rick  James,1102,0.364
Kansas House of Representatives 005,D,Doug  Walker,532,1
Kansas House of Representatives 005,R,Kevin  Jones,1281,1
Kansas House of Representatives 006,D,Christy C. Levings,499,1
Kansas House of Representatives 006,R,Jene  Vickrey,1326,1
Kansas House of Representatives 007,R,Richard J. Proehl,1612,0.646
Kansas House of Representatives 007,R,Tim  Wass Jr.,882,0.353
Kansas House of Representatives 008,D,Ben  Chociej,475,1
Kansas House of Representatives 008,R,Patty  Markley,1546,0.58
Kansas House of Representatives 008,R,Craig  McPherson,1116,0.419
Kansas House of Representatives 009,R,Kent L. Thompson,2361,1
Kansas House of Representatives 010,D,John  Wilson,1069,1
Kansas House of Representatives 011,R,Jim  Kelly,1629,1
Kansas House of Representatives 012,D,Jean Kurtis Schodorf,478,1
Kansas House of Representatives 012,R,Doug  Blex,1841,0.606
Kansas House of Representatives 012,R,Brad  Hall,1192,0.393
Kansas House of Representatives 013,R,Michael T. Countryman,1126,0.241
Kansas House of Representatives 013,R,Larry P. Hibbard,3536,0.758
Kansas House of Representatives 014,D,Merlin  Ring,848,1
Kansas House of Representatives 014,R,Keith  Esau,1375,0.548
Kansas House of Representatives 014,R,Leesa  Gabel,1133,0.451
Kansas House of Representatives 015,D,R. Paul McCorkle,617,1
Kansas House of Representatives 015,R,Erin L. Davis,930,0.626
Kansas House of Representatives 015,R,Bo  Dostal,160,0.107
Kansas House of Representatives 015,R,Kim  Palcic,395,0.265
Kansas House of Representatives 016,D,Cindy  Holscher,1037,1
Kansas House of Representatives 016,R,Amanda  Grosserode,1677,1
Kansas House of Representatives 017,D,Helen M. Stoll,1054,1
