county,registered_voters,advance_votes,prop_votes_advance,provisional_votes,total_votes_cast,prop_turnout
Allen,8583,870,0.1890,128,4594,0.5350
Anderson,5329,334,0.1280,48,2607,0.4890
Atchison,10878,720,0.1480,122,4880,0.4490
Barber,3007,345,0.1950,28,1771,0.5890
Barton,17097,1636,0.2000,153,8190,0.4790
Bourbon,11227,1221,0.2360,161,5173,0.4610
Brown,5883,458,0.1400,83,3275,0.5570
Butler,39717,3373,0.1600,444,21147,0.5320
Chase,1813,288,0.2580,24,1115,0.6150
Chautauqua,2282,165,0.1460,14,1132,0.4960
Cherokee,16450,951,0.1560,130,6104,0.3710
Cheyenne,1866,303,0.2800,6,1081,0.5790
Clark,1465,169,0.1980,19,852,0.5820
Clay,5811,1048,0.3220,61,3252,0.5600
Cloud,6081,574,0.1770,66,3247,0.5340
Coffey,6085,678,0.2110,64,3210,0.5280
Comanche,1179,50,0.0710,31,708,0.6010
Cowley,20525,2380,0.2360,303,10071,0.4910
Crawford,23507,1972,0.1790,370,10998,0.4680
Decatur,2017,258,0.2060,12,1254,0.6220
Dickinson,12764,1115,0.1700,188,6562,0.5140
Doniphan,4788,191,0.0820,26,2327,0.4860
Douglas,75865,10749,0.2780,1721,38656,0.5100
Edwards,1886,120,0.1020,30,1177,0.6240
Elk,1840,210,0.1890,16,1111,0.6040
Ellis,17866,1750,0.1780,257,9831,0.5500
Ellsworth,4090,444,0.1900,37,2334,0.5710
Finney,16974,902,0.1270,204,7130,0.4200
Ford,15210,1680,0.2650,230,6348,0.4170
Franklin,17295,1058,0.1360,170,7756,0.4480
Geary,13898,1242,0.2410,212,5163,0.3710
Gove,2410,118,0.1100,29,1070,0.4440
Graham,1946,200,0.1680,19,1193,0.6130
Grant,3405,413,0.2280,53,1813,0.5320
Gray,2947,369,0.2200,58,1677,0.5690
Greeley,926,149,0.2560,7,583,0.6300
Greenwood,3850,416,0.1820,76,2282,0.5930
Hamilton,1311,314,0.4370,25,718,0.5480
Harper,4181,226,0.1100,44,2053,0.4910
Harvey,21490,2724,0.2300,231,11851,0.5510
Haskell,2363,183,0.1740,55,1051,0.4450
Hodgeman,1393,121,0.1370,26,883,0.6340
Jackson,8896,853,0.1740,97,4890,0.5500
Jefferson,12888,678,0.1010,125,6682,0.5180
Jewell,2217,234,0.2050,18,1141,0.5150
Johnson,380907,64360,0.3300,4360,195287,0.5130
Kearny,2099,187,0.1780,20,1052,0.5010
Kingman,5375,461,0.1570,42,2943,0.5480
Kiowa,1576,135,0.1450,18,930,0.5900
Labette,15926,578,0.0990,155,5862,0.3680
Lane,1297,154,0.1960,35,786,0.6060
Leavenworth,46825,5191,0.2570,320,20222,0.4320
Lincoln,2184,255,0.2090,29,1219,0.5580
Linn,7206,406,0.1100,84,3685,0.5110
Logan,1773,269,0.2510,13,1073,0.6050
Lyon,19394,2060,0.2250,270,9140,0.4710
Marion,7757,542,0.1200,69,4511,0.5820
Marshall,6408,1016,0.2660,99,3816,0.5960
McPherson,16038,1663,0.1590,257,10455,0.6520
Meade,3171,280,0.1930,31,1453,0.4580
Miami,21125,2559,0.2390,242,10729,0.5080
Mitchell,4157,321,0.1430,69,2241,0.5390
Montgomery,19020,1029,0.1160,162,8842,0.4650
Morris,3824,727,0.3380,49,2154,0.5630
Morton,1940,179,0.1920,42,932,0.4800
Nemaha,7230,436,0.1010,66,4307,0.5960
Neosho,11214,375,0.0750,91,4974,0.4440
Ness,2022,247,0.2060,26,1199,0.5930
Norton,3165,258,0.1370,31,1887,0.5960
Osage,10381,679,0.1150,162,5925,0.5710
Osborne,2791,215,0.1460,26,1475,0.5280
Ottawa,4377,344,0.1470,35,2344,0.5360
Pawnee,3957,576,0.2620,50,2202,0.5560
Phillips,3730,346,0.1320,71,2614,0.7010
Pottawatomie,14022,1001,0.1210,201,8256,0.5890
Pratt,5991,456,0.1430,29,3194,0.5330
Rawlins,2092,264,0.2210,25,1193,0.5700
Reno,41001,4332,0.2230,545,19389,0.4730
Republic,3768,418,0.2040,53,2048,0.5440
Rice,5961,665,0.2190,68,3039,0.5100
Riley,33573,5610,0.3520,770,15935,0.4750
Rooks,3324,228,0.1130,76,2011,0.6050
Rush,2298,269,0.1980,27,1361,0.5920
Russell,4396,412,0.1560,47,2643,0.6010
Saline,34745,4007,0.2250,327,17792,0.5120
Scott,3143,312,0.1770,36,1766,0.5620
Sedgwick,275439,65157,0.4490,4348,145073,0.5270
Seward,9861,326,0.0960,116,3391,0.3440
Shawnee,106042,13776,0.2140,1378,64455,0.6080
Sheridan,1744,239,0.2200,13,1086,0.6230
Sherman,3899,520,0.2430,36,2140,0.5490
Smith,3013,247,0.1390,35,1771,0.5880
Stafford,2651,417,0.2680,22,1556,0.5870
Stanton,1228,133,0.1820,22,730,0.5940
Stevens,2903,138,0.0950,50,1456,0.5020
Sumner,15964,880,0.1180,143,7486,0.4690
Thomas,4755,1037,0.3780,57,2740,0.5760
Trego,2227,320,0.2610,26,1224,0.5500
Wabaunsee,4569,346,0.1180,91,2930,0.6410
Wallace,1058,162,0.2450,18,660,0.6240
Washington,3864,564,0.2420,67,2329,0.6030
Wichita,1394,49,0.0630,4,781,0.5600
Wilson,5038,504,0.1840,32,2740,0.5440
Woodson,2214,205,0.1570,14,1309,0.5910
Wyandotte,82319,7348,0.2500,740,29337,0.3560
