race,party,candidate,votes,proportion,election,year
Kansas House of Representatives 119,D,"Lawrence ""Larry"" Blake",248,1,Primary,2012
Kansas House of Representatives 002,L,Lawrence E. Monaghan,285,0.028,General,2012
Kansas House of Representatives 066,R,Lee Modesitt,3213,0.412,General,2012
Kansas House of Representatives 066,R,Lee Modesitt,1201,1,Primary,2012
Kansas Senate 027,R,"Leslie D. ""Les"" Donovan Sr.",20773,0.655,General,2012
Kansas Senate 027,R,"Leslie D. ""Les"" Donovan Sr.",7455,1,Primary,2012
Kansas House of Representatives 097,R,Leslie G. Osterman,4068,0.583,General,2012
Kansas House of Representatives 097,R,Leslie G. Osterman,774,0.508,Primary,2012
Kansas House of Representatives 062,R,Leslie Scoby,1447,0.406,Primary,2012
Kansas House of Representatives 040,D,Linda Johnson,3939,0.488,General,2012
Kansas House of Representatives 040,D,Linda Johnson,513,0.72,Primary,2012
Kansas Senate 008,D,Lisa Johnston,16398,0.456,General,2012
Kansas Senate 008,D,Lisa Johnston,1153,1,Primary,2012
Kansas House of Representatives 030,D,Liz Dickinson,4611,0.45,General,2012
Kansas House of Representatives 030,D,Liz Dickinson,328,1,Primary,2012
Kansas House of Representatives 105,D,Liz Hicks,3142,0.392,General,2012
Kansas House of Representatives 105,D,Liz Hicks,412,1,Primary,2012
Kansas House of Representatives 031,D,Louis E. Ruiz,4050,0.718,General,2012
Kansas House of Representatives 031,D,Louis E. Ruiz,655,1,Primary,2012
United States House of Representatives 002,R,Lynn Jenkins,167463,0.57,General,2012
United States House of Representatives 002,R,Lynn Jenkins,64008,1,Primary,2012
Kansas House of Representatives 004,R,Lynne D. Oharah,778,0.229,Primary,2012
Kansas House of Representatives 072,R,Marc Rhoades,5417,0.595,General,2012
Kansas House of Representatives 072,R,Marc Rhoades,2164,1,Primary,2012
Kansas Senate 002,D,Marci Francisco,21843,0.645,General,2012
Kansas Senate 002,D,Marci Francisco,3466,1,Primary,2012
Kansas House of Representatives 094,R,Mario Goico,7588,1,General,2012
Kansas House of Representatives 094,R,Mario Goico,2199,1,Primary,2012
Kansas Senate 001,R,Marje A. Cochren,3407,0.336,Primary,2012
Kansas House of Representatives 115,D,"Marjorie ""Mo"" Gilbert",1392,0.212,General,2012
Kansas House of Representatives 115,D,"Marjorie ""Mo"" Gilbert",198,1,Primary,2012
Kansas House of Representatives 101,R,Mark E. Holick,323,0.108,Primary,2012
Kansas House of Representatives 105,R,Mark Edward Hutton,4468,0.557,General,2012
Kansas House of Representatives 105,R,Mark Edward Hutton,1414,1,Primary,2012
Kansas House of Representatives 028,R,Mark Hagen,632,0.25,Primary,2012
Kansas Senate 010,D,Mark J. Greene,13900,0.417,General,2012
Kansas Senate 010,D,Mark J. Greene,1364,1,Primary,2012
Kansas House of Representatives 087,R,Mark Kahrs,5939,0.623,General,2012
Kansas House of Representatives 087,R,Mark Kahrs,1926,1,Primary,2012
Kansas House of Representatives 041,R,Mark Preisinger,550,0.452,Primary,2012
Kansas Senate 034,D,Mark R. Treaster,10711,0.4,General,2012
Kansas Senate 034,D,Mark R. Treaster,1839,1,Primary,2012
Kansas House of Representatives 020,R,Mark Read,1293,0.332,Primary,2012
Kansas Senate 005,R,Mark S. Gilstrap,1441,0.385,Primary,2012
Kansas House of Representatives 022,R,Marla Brems,3551,0.393,General,2012
Kansas House of Representatives 022,R,Marla Brems,1337,1,Primary,2012
Kansas House of Representatives 039,D,Marlys Shulda,3930,0.365,General,2012
Kansas House of Representatives 039,D,Marlys Shulda,273,1,Primary,2012
Kansas Senate 036,D,Marquis Clark,5371,0.17,General,2012
Kansas Senate 036,D,Marquis Clark,1515,1,Primary,2012
Kansas House of Representatives 113,R,Marshall Christmann,6869,1,General,2012
Kansas House of Representatives 113,R,Marshall Christmann,3282,1,Primary,2012
Kansas House of Representatives 004,R,Marty Read,6084,0.626,General,2012
Kansas House of Representatives 004,R,Marty Read,2451,0.724,Primary,2012
Kansas House of Representatives 048,R,Marvin Kleeb,8712,1,General,2012
Kansas House of Representatives 048,R,Marvin Kleeb,1737,1,Primary,2012
Kansas Senate 010,R,Mary Pilcher-Cook,19392,0.582,General,2012
Kansas Senate 010,R,Mary Pilcher-Cook,4514,0.642,Primary,2012
Kansas Senate 019,R,Matthew F. Windheuser,978,0.187,Primary,2012
Kansas House of Representatives 084,D,Matthew R. Collins,91,0.1,Primary,2012
Kansas House of Representatives 025,D,Megan England,6376,0.492,General,2012
Kansas House of Representatives 025,D,Megan England,688,0.706,Primary,2012
Kansas House of Representatives 041,D,Melanie Meier,3427,0.552,General,2012
Kansas House of Representatives 041,D,Melanie Meier,530,1,Primary,2012
Kansas House of Representatives 025,R,Melissa Rooker,6573,0.507,General,2012
Kansas House of Representatives 025,R,Melissa Rooker,1330,0.471,Primary,2012
Kansas House of Representatives 065,D,Melody J. Saxton,2110,0.497,General,2012
Kansas House of Representatives 065,D,Melody J. Saxton,206,0.5,Primary,2012
Kansas Senate 009,D,Merlin Ring,10957,0.361,General,2012
Kansas Senate 009,D,Merlin Ring,857,1,Primary,2012
Kansas House of Representatives 090,D,Merry C. Matthews,2055,0.225,General,2012
Kansas House of Representatives 090,D,Merry C. Matthews,262,1,Primary,2012
Kansas Senate 011,D,Michael F. Delaney,13985,0.372,General,2012
Kansas Senate 011,D,Michael F. Delaney,1005,1,Primary,2012
Kansas House of Representatives 001,R,Michael Houser,4823,0.539,General,2012
Kansas House of Representatives 001,R,Michael Houser,1480,0.576,Primary,2012
Kansas House of Representatives 032,D,Michael J. (Mike) Peterson,2204,1,General,2012
Kansas House of Representatives 032,D,Michael J. (Mike) Peterson,334,1,Primary,2012
Kansas House of Representatives 017,L,Michael Kerner,1311,0.11,General,2012
Kansas Senate 025,R,Michael O'Donnell,9326,0.466,General,2012
Kansas Senate 025,R,Michael O'Donnell,2785,0.588,Primary,2012
Kansas House of Representatives 003,R,Michelle Hucke,3795,0.462,General,2012
Kansas House of Representatives 003,R,Michelle Hucke,1104,1,Primary,2012
Kansas House of Representatives 053,R,Mike Burgess,4853,0.463,General,2012
Kansas House of Representatives 053,R,Mike Burgess,2572,1,Primary,2012
Kansas Senate 028,R,Mike Petersen,9853,0.526,General,2012
Kansas Senate 028,R,Mike Petersen,2632,1,Primary,2012
United States House of Representatives 004,R,Michael Pompeo,161094,0.622,General,2012
United States House of Representatives 004,R,Michael Pompeo,60195,1,Primary,2012
Kansas House of Representatives 018,D,Milack Talia,5215,0.462,General,2012
Kansas House of Representatives 018,D,Milack Talia,526,1,Primary,2012
Kansas Senate 032,R,Miranda Allen,4425,0.475,Primary,2012
Kansas Senate 033,R,Mitch Holmes,23049,1,General,2012
Kansas Senate 033,R,Mitch Holmes,7635,0.53,Primary,2012
Kansas House of Representatives 117,R,Mitchell Rucker,1369,0.308,Primary,2012
President / Vice President,R,Mitt Romney,692634,0.597,General,2012
Kansas House of Representatives 029,D,Nancy Leiker,5214,0.461,General,2012
Kansas House of Representatives 029,D,Nancy Leiker,403,1,Primary,2012
Kansas House of Representatives 022,D,Nancy Lusk,5476,0.606,General,2012
Kansas House of Representatives 022,D,Nancy Lusk,446,1,Primary,2012
Kansas House of Representatives 018,R,Neal L. Sawyer,892,0.331,Primary,2012
Kansas House of Representatives 073,R,Nicholas Lee Reinecker,459,0.167,Primary,2012
Kansas House of Representatives 106,D,Nick Levendofsky,3731,0.349,General,2012
Kansas House of Representatives 106,D,Nick Levendofsky,744,1,Primary,2012
Kansas House of Representatives 092,D,Nile Dillmore,4476,0.557,General,2012
Kansas House of Representatives 092,D,Nile Dillmore,663,1,Primary,2012
Kansas Senate 029,D,Oletha Faust-Goudeau,11720,0.636,General,2012
Kansas Senate 029,D,Oletha Faust-Goudeau,2103,0.784,Primary,2012
Kansas House of Representatives 093,D,Pamela Frieden,262,0.615,Primary,2012
Kansas House of Representatives 073,D,Pamela J. Lawson,2271,0.24,General,2012
Kansas House of Representatives 073,D,Pamela J. Lawson,352,1,Primary,2012
Kansas Senate 037,R,Pat Apple,27888,1,General,2012
Kansas Senate 037,R,Pat Apple,4751,0.645,Primary,2012
Kansas Senate 011,R,Pat Colloton,3748,0.406,Primary,2012
Kansas Senate 006,D,Pat Pettey,11637,0.62,General,2012
Kansas Senate 006,D,Pat Pettey,1842,0.726,Primary,2012
Kansas House of Representatives 088,D,Patricia M. Sloop,3667,0.531,General,2012
Kansas House of Representatives 088,D,Patricia M. Sloop,411,0.796,Primary,2012
Kansas House of Representatives 044,R,Patrick Bengtson,3245,0.289,General,2012
Kansas House of Representatives 044,R,Patrick Bengtson,959,1,Primary,2012
Kansas Senate 030,D,Patrick K. Cantwell,10527,0.386,General,2012
Kansas Senate 030,D,Patrick K. Cantwell,1260,1,Primary,2012
Kansas House of Representatives 046,D,Paul Davis,8844,1,General,2012
Kansas House of Representatives 046,D,Paul Davis,1208,1,Primary,2012
Kansas House of Representatives 089,D,Peggy L. Elliott,389,0.313,Primary,2012
Kansas House of Representatives 076,R,Peggy L. Mast,5747,0.638,General,2012
Kansas House of Representatives 076,R,Peggy L. Mast,1735,0.469,Primary,2012
Kansas Senate 025,D,Perry L. Schuckman,874,0.477,Primary,2012
Kansas Senate 024,R,Pete Brungardt,4354,0.445,Primary,2012
Kansas House of Representatives 082,R,Pete DeGraaf,6707,1,General,2012
Kansas House of Representatives 082,R,Pete DeGraaf,1521,1,Primary,2012
Kansas House of Representatives 038,D,Pete Henderson,4572,0.426,General,2012
Kansas House of Representatives 038,D,Pete Henderson,478,1,Primary,2012
Kansas House of Representatives 098,R,Phil Hermanson,3108,0.51,General,2012
Kansas House of Representatives 098,R,Phil Hermanson,873,1,Primary,2012
Kansas House of Representatives 064,L,"Philip ""Skip"" Breitmeyer",1064,0.189,General,2012
Kansas House of Representatives 110,D,Philip H. Martin,2385,0.243,General,2012
Kansas House of Representatives 110,D,Philip H. Martin,400,1,Primary,2012
Kansas House of Representatives 103,D,Ponka-We Victors,2257,1,General,2012
Kansas House of Representatives 103,D,Ponka-We Victors,237,0.675,Primary,2012
Kansas House of Representatives 058,R,Quentin Martin,1673,0.259,General,2012
Kansas House of Representatives 058,R,Quentin Martin,652,1,Primary,2012
Kansas Senate 040,R,Ralph Ostmeyer,21443,0.665,General,2012
Kansas Senate 040,R,Ralph Ostmeyer,7396,0.644,Primary,2012
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,5556,0.582,General,2012
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,2299,1,Primary,2012
Kansas House of Representatives 105,L,Randall Batson,404,0.05,General,2012
Kansas House of Representatives 062,R,Randy Garber,6244,0.632,General,2012
Kansas House of Representatives 062,R,Randy Garber,2110,0.593,Primary,2012
Kansas House of Representatives 122,R,Randy L. Hayzlett,1530,0.479,Primary,2012
Kansas House of Representatives 027,R,Ray Merrick,10101,1,General,2012
Kansas House of Representatives 027,R,Ray Merrick,2210,1,Primary,2012
Kansas House of Representatives 085,D,Rebecca Armstrong,214,0.531,Primary,2012
Kansas House of Representatives 125,R,Reid Petty,3735,1,General,2012
Kansas House of Representatives 125,R,Reid Petty,904,0.502,Primary,2012
Kansas House of Representatives 123,R,Reynaldo R. Mesa,615,0.296,Primary,2012
Kansas House of Representatives 120,R,Richard (Rick) Billinger,2430,0.463,Primary,2012
President / Vice President,O,Richard A. Duncan,0,0,General,2012
Kansas House of Representatives 061,R,Richard Carlson,7812,1,General,2012
Kansas House of Representatives 061,R,Richard Carlson,1855,0.491,Primary,2012
Kansas House of Representatives 007,R,Richard J. Proehl,5782,0.69,General,2012
Kansas House of Representatives 007,R,Richard J. Proehl,1572,0.531,Primary,2012
Kansas House of Representatives 051,D,Richard R. Pikul,2899,0.3,General,2012
Kansas House of Representatives 051,D,Richard R. Pikul,367,0.623,Primary,2012
President / Vice President,O,Rick L. Rogers,0,0,General,2012
Kansas House of Representatives 096,R,Rick Lindsey,2490,0.415,General,2012
Kansas House of Representatives 096,R,Rick Lindsey,483,0.507,Primary,2012
Kansas House of Representatives 020,R,Rob Bruchman,10453,1,General,2012
Kansas House of Representatives 020,R,Rob Bruchman,2591,0.667,Primary,2012
Kansas Senate 023,R,Rob Olson,18859,0.629,General,2012
Kansas Senate 023,R,Rob Olson,3523,1,Primary,2012
Kansas House of Representatives 002,D,"Robert ""Bob"" Grant",5320,0.537,General,2012
Kansas House of Representatives 002,D,"Robert ""Bob"" Grant",1633,1,Primary,2012
United States House of Representatives 004,D,Robert Leon Tillman,81770,0.315,General,2012
United States House of Representatives 004,D,Robert Leon Tillman,11224,0.708,Primary,2012
Kansas House of Representatives 015,R,Robert Montgomery,6598,1,General,2012
Kansas House of Representatives 015,R,Robert Montgomery,870,0.811,Primary,2012
United States House of Representatives 002,D,Robert V. Eye,10353,0.348,Primary,2012
Kansas House of Representatives 014,D,Roberta A. Eveslage,3902,0.37,General,2012
Kansas House of Representatives 014,D,Roberta A. Eveslage,194,0.573,Primary,2012
Kansas House of Representatives 091,R,Robin Salem Clements,872,0.378,Primary,2012
Kansas House of Representatives 089,D,Roderick A. Houston,4918,0.645,General,2012
Kansas House of Representatives 089,D,Roderick A. Houston,589,0.474,Primary,2012
Kansas House of Representatives 083,R,Rodney Wren,401,0.304,Primary,2012
Kansas Senate 022,R,Roger P. Reitz,2251,0.292,Primary,2012
Kansas House of Representatives 051,R,Ron Highland,6761,0.699,General,2012
Kansas House of Representatives 051,R,Ron Highland,1499,0.451,Primary,2012
Kansas House of Representatives 078,R,Ron Ryckman,9172,1,General,2012
Kansas House of Representatives 078,R,Ron Ryckman,1339,1,Primary,2012
Kansas House of Representatives 030,R,Ron Worley,873,0.432,Primary,2012
Kansas Senate 002,R,Ronald B. Ellis,11996,0.354,General,2012
Kansas Senate 002,R,Ronald B. Ellis,2588,0.634,Primary,2012
Kansas House of Representatives 071,R,Ronald L. Young,1118,0.331,Primary,2012
Kansas House of Representatives 115,R,Ronald Ryckman,5144,0.787,General,2012
Kansas House of Representatives 115,R,Ronald Ryckman,1641,1,Primary,2012
President / Vice President,O,Roseanne C. Barr,58,0,General,2012
President / Vice President,O,"Ross ""Rocky"" C. Anderson",95,0,General,2012
Kansas Senate 033,R,Ruth Teichman,6762,0.469,Primary,2012
Kansas House of Representatives 093,D,Sammy K. Flaharty,1645,0.191,General,2012
Kansas House of Representatives 093,D,Sammy K. Flaharty,164,0.384,Primary,2012
Kansas House of Representatives 042,R,Sandra Bohne,667,0.372,Primary,2012
Kansas House of Representatives 087,L,Santana Marie Talbert,440,0.046,General,2012
Kansas House of Representatives 051,D,Scott A. Briggs,222,0.376,Primary,2012
United States House of Representatives 002,D,Scott James Barnhart,7627,0.256,Primary,2012
Kansas House of Representatives 025,D,Scott Gregory,286,0.293,Primary,2012
Kansas House of Representatives 049,R,Scott Schwab,5111,0.571,General,2012
Kansas House of Representatives 049,R,Scott Schwab,934,1,Primary,2012
Kansas House of Representatives 050,D,Sean Gatewood,4913,0.45,General,2012
Kansas House of Representatives 050,D,Sean Gatewood,1041,1,Primary,2012
Kansas House of Representatives 052,R,Shanti Gandhi,6472,0.544,General,2012
Kansas House of Representatives 052,R,Shanti Gandhi,1502,0.366,Primary,2012
Kansas House of Representatives 106,R,Sharon J. Schwartz,6934,0.65,General,2012
Kansas House of Representatives 106,R,Sharon J. Schwartz,2456,0.509,Primary,2012
Kansas House of Representatives 036,R,Shawn A. Shipp,3468,0.317,General,2012
Kansas House of Representatives 036,R,Shawn A. Shipp,712,1,Primary,2012
President / Vice President,O,Sheila and/or Samm Tittle,0,0,General,2012
Kansas House of Representatives 008,R,Sheryl Spalding,868,0.385,Primary,2012
Kansas House of Representatives 004,D,Shirley J. Palmer,3629,0.373,General,2012
Kansas House of Representatives 004,D,Shirley J. Palmer,1053,1,Primary,2012
Kansas House of Representatives 037,D,Stan Frownfelter,4196,1,General,2012
Kansas House of Representatives 037,D,Stan Frownfelter,616,1,Primary,2012
Kansas House of Representatives 059,D,Stanley L. Wiles,253,0.4,Primary,2012
Kansas House of Representatives 019,R,Stephanie Clayton,7696,0.587,General,2012
Kansas House of Representatives 019,R,Stephanie Clayton,1911,0.51,Primary,2012
Kansas House of Representatives 039,R,Stephanie Meyer,691,0.372,Primary,2012
Kansas House of Representatives 063,R,Stephen Bodenhausen,3706,0.409,General,2012
Kansas House of Representatives 025,R,Stephen Foster,721,0.255,Primary,2012
Kansas Senate 039,R,Stephen R. Morris,4737,0.481,Primary,2012
Kansas House of Representatives 085,R,Steven Brunk,6806,0.672,General,2012
Kansas House of Representatives 085,R,Steven Brunk,2001,1,Primary,2012
Kansas Senate 032,R,Steve E. Abrams,20981,1,General,2012
Kansas Senate 032,R,Steve E. Abrams,4886,0.524,Primary,2012
Kansas Senate 005,R,Steve Fitzgerald,12803,0.515,General,2012
Kansas Senate 005,R,Steve Fitzgerald,2298,0.614,Primary,2012
Kansas House of Representatives 090,R,Steve Huebert,7050,0.774,General,2012
Kansas House of Representatives 090,R,Steve Huebert,2114,1,Primary,2012
Kansas Senate 001,D,Steve Lukert,14982,0.493,General,2012
Kansas Senate 001,D,Steve Lukert,2194,1,Primary,2012
Kansas House of Representatives 112,D,Steve Muehleisen,2056,0.269,General,2012
Kansas House of Representatives 112,D,Steve Muehleisen,396,1,Primary,2012
Kansas Senate 023,D,Steve Wright,11098,0.37,General,2012
Kansas Senate 023,D,Steve Wright,742,1,Primary,2012
Kansas House of Representatives 108,R,Steven Johnson,7935,1,General,2012
Kansas House of Representatives 108,R,Steven Johnson,2731,1,Primary,2012
Kansas House of Representatives 104,R,Steven R. Becker,9407,1,General,2012
Kansas House of Representatives 104,R,Steven R. Becker,1464,0.509,Primary,2012
Kansas House of Representatives 111,R,Sue Ellen Boldra,5352,0.549,General,2012
Kansas House of Representatives 111,R,Sue Ellen Boldra,1118,1,Primary,2012
Kansas Senate 017,D,Susan K. Moran,8285,0.392,General,2012
Kansas Senate 017,D,Susan K. Moran,1942,1,Primary,2012
Kansas House of Representatives 107,R,Susan L. Concannon,8923,1,General,2012
Kansas House of Representatives 107,R,Susan L. Concannon,3077,1,Primary,2012
Kansas Senate 030,R,Susan Wagle,16700,0.613,General,2012
Kansas Senate 030,R,Susan Wagle,5550,1,Primary,2012
Kansas House of Representatives 075,D,Suzanne Scribner,2840,0.347,General,2012
Kansas House of Representatives 075,D,Suzanne Scribner,542,1,Primary,2012
Kansas House of Representatives 066,D,Sydney Carlin,4573,0.587,General,2012
Kansas House of Representatives 066,D,Sydney Carlin,525,1,Primary,2012
Kansas House of Representatives 059,R,TerriLois Gregory,1574,0.4,Primary,2012
Kansas Senate 034,R,Terry Bruce,16007,0.599,General,2012
Kansas Senate 034,R,Terry Bruce,5522,1,Primary,2012
Kansas Senate 020,D,Terry L. Crowder,10071,0.3,General,2012
Kansas Senate 020,D,Terry L. Crowder,3052,1,Primary,2012
Kansas House of Representatives 116,R,Terry Nunemaker,1234,0.325,Primary,2012
Kansas House of Representatives 052,D,"Theodore ""Ted"" Ensley",5425,0.455,General,2012
Kansas House of Representatives 052,D,"Theodore ""Ted"" Ensley",946,1,Primary,2012
Kansas Senate 008,R,Thomas C. (Tim) Owens,3161,0.397,Primary,2012
United States House of Representatives 004,L,Thomas Jefferson,16058,0.062,General,2012
Kansas House of Representatives 083,R,Tim Garvey,2776,0.415,General,2012
Kansas House of Representatives 083,R,Tim Garvey,914,0.695,Primary,2012
United States House of Representatives 001,R,Tim Huelskamp,211337,1,General,2012
United States House of Representatives 001,R,Tim Huelskamp,79633,1,Primary,2012
Kansas House of Representatives 031,R,Tim Kelb,1586,0.281,General,2012
Kansas House of Representatives 031,R,Tim Kelb,202,1,Primary,2012
Kansas Senate 025,D,Timothy L. Snow,9063,0.453,General,2012
Kansas Senate 025,D,Timothy L. Snow,957,0.522,Primary,2012
Kansas House of Representatives 012,D,Tina Bumgarner,2822,0.326,General,2012
Kansas House of Representatives 012,D,Tina Bumgarner,408,1,Primary,2012
United States House of Representatives 002,D,Tobias Schlingensiepen,113735,0.387,General,2012
United States House of Representatives 002,D,Tobias Schlingensiepen,11747,0.395,Primary,2012
Kansas Senate 024,R,Tom Arpke,15112,0.564,General,2012
Kansas Senate 024,R,Tom Arpke,5413,0.554,Primary,2012
Kansas House of Representatives 065,D,Tom Brungardt,206,0.5,Primary,2012
Kansas House of Representatives 033,D,Tom Burroughs,4835,0.579,General,2012
Kansas House of Representatives 033,D,Tom Burroughs,624,1,Primary,2012
Kansas Senate 022,D,Tom Hawk,12851,0.507,General,2012
Kansas Senate 022,D,Tom Hawk,1559,1,Primary,2012
President / Vice President,O,Tom Hoefling,12,0,General,2012
Kansas Senate 003,D,Tom Holland,16678,0.532,General,2012
Kansas Senate 003,D,Tom Holland,2112,1,Primary,2012
Kansas House of Representatives 068,R,Tom Moxley,6547,1,General,2012
Kansas House of Representatives 068,R,Tom Moxley,1748,0.657,Primary,2012
Kansas House of Representatives 067,R,Tom Phillips,6442,0.639,General,2012
Kansas House of Representatives 067,R,Tom Phillips,2925,1,Primary,2012
Kansas House of Representatives 095,D,Tom Sawyer,3345,0.575,General,2012
Kansas House of Representatives 095,D,Tom Sawyer,427,1,Primary,2012
Kansas House of Representatives 114,R,Tom Simpson,964,0.341,Primary,2012
Kansas House of Representatives 045,R,Tom Sloan,9475,1,General,2012
Kansas House of Representatives 045,R,Tom Sloan,1236,1,Primary,2012
Kansas Senate 010,R,Tom Wertz,2509,0.357,Primary,2012
Kansas House of Representatives 033,R,Tony Bukaty,3506,0.42,General,2012
Kansas House of Representatives 033,R,Tony Bukaty,561,1,Primary,2012
Kansas House of Representatives 110,R,Travis Couture-Lovelady,7407,0.756,General,2012
Kansas House of Representatives 110,R,Travis Couture-Lovelady,3957,1,Primary,2012
Kansas House of Representatives 061,R,Trent LeDoux,1206,0.319,Primary,2012
Kansas House of Representatives 109,R,Trey Joy,2391,0.458,Primary,2012
Kansas House of Representatives 109,R,Troy L. Waymaster,9182,1,General,2012
Kansas House of Representatives 109,R,Troy L. Waymaster,2823,0.541,Primary,2012
Kansas Senate 016,R,Ty Masterson,23354,1,General,2012
Kansas Senate 016,R,Ty Masterson,5416,1,Primary,2012
Kansas House of Representatives 121,D,Tyler G. Dixon,3674,0.36,General,2012
Kansas House of Representatives 121,D,Tyler G. Dixon,242,1,Primary,2012
Kansas House of Representatives 034,D,Valdenia C. Winn,5629,1,General,2012
Kansas House of Representatives 034,D,Valdenia C. Winn,733,1,Primary,2012
Kansas House of Representatives 024,D,Vera Locke,243,0.324,Primary,2012
Kansas House of Representatives 064,R,Vern Swanson,4541,0.81,General,2012
Kansas House of Representatives 064,R,Vern Swanson,1989,1,Primary,2012
Kansas Senate 020,R,Vicki L. Schmidt,21359,0.638,General,2012
Kansas Senate 020,R,Vicki L. Schmidt,5747,0.507,Primary,2012
Kansas House of Representatives 116,D,Vincent Wetta,3768,0.413,General,2012
Kansas House of Representatives 116,D,Vincent Wetta,612,1,Primary,2012
President / Vice President,O,Virgil Goode,187,0,General,2012
Kansas House of Representatives 012,R,Virgil Peck,5821,0.673,General,2012
Kansas House of Representatives 012,R,Virgil Peck,2433,0.675,Primary,2012
Kansas House of Representatives 056,D,Virgil Weigel,4989,0.518,General,2012
Kansas House of Representatives 056,D,Virgil Weigel,998,1,Primary,2012
Kansas House of Representatives 120,R,Ward M. Cassidy,7289,1,General,2012
Kansas House of Representatives 120,R,Ward M. Cassidy,2811,0.536,Primary,2012
Kansas House of Representatives 075,R,Will Carpenter,5329,0.652,General,2012
Kansas House of Representatives 075,R,Will Carpenter,2002,0.697,Primary,2012
President / Vice President,O,Will Christensen,1,0,General,2012
Kansas House of Representatives 060,D,William L. Ballard,2362,0.296,General,2012
Kansas House of Representatives 060,D,William L. Ballard,761,1,Primary,2012
Kansas House of Representatives 038,R,Willie Dove,6138,0.573,General,2012
Kansas House of Representatives 038,R,Willie Dove,1022,0.54,Primary,2012
Kansas House of Representatives 076,R,Willie Prescott,735,0.198,Primary,2012
Kansas House of Representatives 052,R,Wm. Scott Hesse,1137,0.277,Primary,2012
Kansas House of Representatives 019,D,Zachary Luea,5395,0.412,General,2012
Kansas House of Representatives 019,D,Zachary Luea,498,1,Primary,2012
Attorney General,D,A.J. Kotich,281105,0.332,General,2014
Attorney General,D,A.J. Kotich,58294,1,Primary,2014
Kansas House of Representatives 046,D,Abbie Hodgson,731,0.421,Primary,2014
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,5480,1,General,2014
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,760,1,Primary,2014
Kansas House of Representatives 120,R,Adam Smith,1447,0.397,Primary,2014
United States House of Representatives 001,R,Alan LaPolice,35108,0.45,Primary,2014
Kansas House of Representatives 065,R,Allan Rothlisberg,317,0.405,Primary,2014
United States Senate,R,Alvin E. Zahnter,14164,0.053,Primary,2014
Kansas House of Representatives 016,R,Amanda Grosserode,4680,0.536,General,2014
Kansas House of Representatives 016,R,Amanda Grosserode,1552,0.552,Primary,2014
Kansas House of Representatives 023,D,Amber Versola,2588,0.44,General,2014
Kansas House of Representatives 023,D,Amber Versola,498,1,Primary,2014
Kansas House of Representatives 021,D,Amy Bell,3677,0.379,General,2014
Kansas House of Representatives 021,D,Amy Bell,925,1,Primary,2014
Kansas House of Representatives 080,R,Andrew Lawson,889,0.424,Primary,2014
Kansas House of Representatives 054,D,Ann E. Mah,4136,0.459,General,2014
Kansas House of Representatives 054,D,Ann E. Mah,717,1,Primary,2014
Kansas House of Representatives 055,D,Annie Kuether,4602,0.666,General,2014
Kansas House of Representatives 055,D,Annie Kuether,989,1,Primary,2014
Kansas House of Representatives 053,D,Annie Tietze,5212,0.606,General,2014
Kansas House of Representatives 053,D,Annie Tietze,966,1,Primary,2014
Kansas House of Representatives 016,D,Arthena Easterwood,159,0.218,Primary,2014
Kansas House of Representatives 042,D,Austin Lee Harris,2751,0.404,General,2014
Kansas House of Representatives 042,D,Austin Lee Harris,310,0.559,Primary,2014
Kansas House of Representatives 021,R,Barbara Bollier,6014,0.62,General,2014
Kansas House of Representatives 021,R,Barbara Bollier,1819,0.596,Primary,2014
Kansas House of Representatives 072,R,Barbara Bunting,1520,0.422,Primary,2014
Kansas House of Representatives 044,D,Barbara W. Ballard,7626,1,General,2014
Kansas House of Representatives 044,D,Barbara W. Ballard,1113,1,Primary,2014
Kansas House of Representatives 061,R,Becky J. Hutchins,5644,0.677,General,2014
Kansas House of Representatives 061,R,Becky J. Hutchins,2356,1,Primary,2014
Kansas House of Representatives 095,R,Benny Boman,1805,0.419,General,2014
Kansas House of Representatives 095,R,Benny Boman,770,1,Primary,2014
Commissioner of Insurance,R,Beverly Gossage,55306,0.23,Primary,2014
Kansas House of Representatives 076,O,Bill Otto,1548,0.21,General,2014
Kansas House of Representatives 043,R,Bill Sutton,3738,0.665,General,2014
Kansas House of Representatives 043,R,Bill Sutton,1363,1,Primary,2014
Kansas House of Representatives 059,R,Blaine Finch,5009,0.742,General,2014
Kansas House of Representatives 059,R,Blaine Finch,1972,0.641,Primary,2014
Kansas House of Representatives 081,R,Blake Carpenter,3044,0.616,General,2014
Kansas House of Representatives 081,R,Blake Carpenter,1239,1,Primary,2014
Kansas House of Representatives 059,R,Bob Fluke,1103,0.358,Primary,2014
Kansas House of Representatives 047,D,Bob Sirridge,2753,0.352,General,2014
Kansas House of Representatives 047,D,Bob Sirridge,476,1,Primary,2014
Kansas House of Representatives 024,R,Brandon Hermreck,2559,0.392,General,2014
Kansas House of Representatives 024,R,Brandon Hermreck,1088,1,Primary,2014
Kansas House of Representatives 096,D,Brandon Whipple,2544,0.561,General,2014
Kansas House of Representatives 096,D,Brandon Whipple,397,1,Primary,2014
Kansas House of Representatives 014,L,Brent Stackhouse,472,0.059,General,2014
